일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20181101,700,강서구,8.4,39,0,1,33,2018-11-01,4
20181101,800,강서구,8.4,41,0,0.5,33,2018-11-01,4
20181101,1800,강서구,8.4,67,0,0.8,33,2018-11-01,4
20181101,1900,강서구,8.4,70,0,0.8,33,2018-11-01,4
20181101,700,마포구,8.4,39,0,1.3,39,2018-11-01,4
20181101,800,마포구,8.4,42,0,1.1,39,2018-11-01,4
20181101,1800,마포구,8.4,70,0,2.1,39,2018-11-01,4
20181101,1900,마포구,8.4,75,0,2.4,39,2018-11-01,4
20181101,700,송파구,8.4,41,0,1.4,0,2018-11-01,4
20181101,800,송파구,8.4,48,0,0.6,0,2018-11-01,4
20181101,1800,송파구,8.4,81,0,1.6,0,2018-11-01,4
20181101,1900,송파구,8.4,84,0,1.1,0,2018-11-01,4
20181101,700,영등포구,8.4,39,0,1.3,43,2018-11-01,4
20181101,800,영등포구,8.4,42,0,1.1,43,2018-11-01,4
20181101,1800,영등포구,8.4,70,0,2.1,43,2018-11-01,4
20181101,1900,영등포구,8.4,75,0,2.4,43,2018-11-01,4
20181102,700,강서구,10.6,35,0,0.3,45,2018-11-02,5
20181102,800,강서구,10.6,36,0,0.3,45,2018-11-02,5
20181102,1800,강서구,10.6,71,0,0.1,45,2018-11-02,5
20181102,1900,강서구,10.6,71,0,0.4,45,2018-11-02,5
20181102,700,마포구,10.6,40,0,1.8,52,2018-11-02,5
20181102,800,마포구,10.6,38,0,2,52,2018-11-02,5
20181102,1800,마포구,10.6,78,0,1.5,52,2018-11-02,5
20181102,1900,마포구,10.6,75,0,1.2,52,2018-11-02,5
20181102,700,송파구,10.6,40,0,0.7,0,2018-11-02,5
20181102,800,송파구,10.6,48,0,1,0,2018-11-02,5
20181102,1800,송파구,10.6,87,0,0.8,0,2018-11-02,5
20181102,1900,송파구,10.6,87,0,1,0,2018-11-02,5
20181102,700,영등포구,10.6,40,0,1.8,46,2018-11-02,5
20181102,800,영등포구,10.6,38,0,2,46,2018-11-02,5
20181102,1800,영등포구,10.6,78,0,1.5,46,2018-11-02,5
20181102,1900,영등포구,10.6,75,0,1.2,46,2018-11-02,5
20181103,700,강서구,11.2,51,0,1.2,59,2018-11-03,6
20181103,800,강서구,11.2,58,0,1.2,59,2018-11-03,6
20181103,1800,강서구,11.2,68,0,0.4,59,2018-11-03,6
20181103,1900,강서구,11.2,69,0,0.4,59,2018-11-03,6
20181103,700,마포구,11.2,49,0,2.1,69,2018-11-03,6
20181103,800,마포구,11.2,49,0,1.6,69,2018-11-03,6
20181103,1800,마포구,11.2,81,0,0,69,2018-11-03,6
20181103,1900,마포구,11.2,73,0,1.4,69,2018-11-03,6
20181103,700,송파구,11.2,32,0,1.5,0,2018-11-03,6
20181103,800,송파구,11.2,55,0,2,0,2018-11-03,6
20181103,1800,송파구,11.2,84,0,0.3,0,2018-11-03,6
20181103,1900,송파구,11.2,87,0,0.7,0,2018-11-03,6
20181103,700,영등포구,11.2,49,0,2.1,57,2018-11-03,6
20181103,800,영등포구,11.2,49,0,1.6,57,2018-11-03,6
20181103,1800,영등포구,11.2,81,0,0,57,2018-11-03,6
20181103,1900,영등포구,11.2,73,0,1.4,57,2018-11-03,6
20181104,700,강서구,11.6,44,0,1.1,46,2018-11-04,7
20181104,800,강서구,11.6,53,0,1.5,46,2018-11-04,7
20181104,1800,강서구,11.6,89,0,0.2,46,2018-11-04,7
20181104,1900,강서구,11.6,90,0,0.3,46,2018-11-04,7
20181104,700,마포구,11.6,43,0,2.5,56,2018-11-04,7
20181104,800,마포구,11.6,45,0,1.9,56,2018-11-04,7
20181104,1800,마포구,11.6,89,0,1.6,56,2018-11-04,7
20181104,1900,마포구,11.6,92,0,1.2,56,2018-11-04,7
20181104,700,송파구,11.6,35,0,1.8,0,2018-11-04,7
20181104,800,송파구,11.6,48,0,2.3,0,2018-11-04,7
20181104,1800,송파구,11.6,88,0,0.7,0,2018-11-04,7
20181104,1900,송파구,11.6,89,0,0.3,0,2018-11-04,7
20181104,700,영등포구,11.6,43,0,2.5,48,2018-11-04,7
20181104,800,영등포구,11.6,45,0,1.9,48,2018-11-04,7
20181104,1800,영등포구,11.6,89,0,1.6,48,2018-11-04,7
20181104,1900,영등포구,11.6,92,0,1.2,48,2018-11-04,7
20181105,700,강서구,11.9,52,0,1,62,2018-11-05,1
20181105,800,강서구,11.9,70,0,1.5,62,2018-11-05,1
20181105,1800,강서구,11.9,87,0,0.1,62,2018-11-05,1
20181105,1900,강서구,11.9,84,0,0.2,62,2018-11-05,1
20181105,700,마포구,11.9,53,0,2.4,69,2018-11-05,1
20181105,800,마포구,11.9,64,0,2.6,69,2018-11-05,1
20181105,1800,마포구,11.9,82,0,1,69,2018-11-05,1
20181105,1900,마포구,11.9,86,0,0.3,69,2018-11-05,1
20181105,700,송파구,11.9,51,0,1.8,0,2018-11-05,1
20181105,800,송파구,11.9,56,0,1.1,0,2018-11-05,1
20181105,1800,송파구,11.9,88,0,0.5,0,2018-11-05,1
20181105,1900,송파구,11.9,89,0,0.1,0,2018-11-05,1
20181105,700,영등포구,11.9,53,0,2.4,63,2018-11-05,1
20181105,800,영등포구,11.9,64,0,2.6,63,2018-11-05,1
